,Title,Description,Date Created,Origin,Author,Recipient,Year,Month,Day
2223,"1895 September 25, Philadelphia, to My Dear Wife",,1895-09-25,Philadelphia (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1895,9,25
2224,"1895 December 26, Lakewood, to My dear Cousin",,1895-12-26,Lakewood (N.J.),"Author (aut): Cope, Clementine, 1835-1903",,1895,12,26
2225,"1896 January 1, Saranac Lake, to Dear Father",,1896-01-01,Saranac Lake (N.Y.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1852-1944","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1896,1,1
2226,"Letter from the Charles Warner Company to Thomas P. Cope Jr., 1896 January 3",,1896-01-03,Wilmington (Del.),Author (aut): Charles Warner Company,"Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1852-1944",1896,1,3
2227,"1896 January 4, Saranac Lake, to Dearest Mother","Describes Alfred Cope, ill with the ailment that will presumably end his life in 1897.",1896-01-04,Saranac Lake (N.Y.),"Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,1,4
2228,"1896 November 8, Woodbourne, to Dear Mother",,1896-01-08,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,1,8
2229,"1896 April 11, Saranac Lake, to Cousin Annette",,1896-04-11,Saranac Lake (N.Y.),"Author (aut): Cope, Alfred, 1857-1897","Addressee (rcp): Cope, Annette, 1843-1916",1896,4,11
2230,"1896 June 5, to Grandma",,1896-06-05,,"Author (aut): Evans, Ernest Mervyn, 1884-1911","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,6,5
2231,"1896 June 11, ""Mossgiel,"" to My dearest Mother","Watermark reads, ""Quaker City Linen.""",1896-06-11,Jamestown (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,6,11
2232,"1896 June 12, Conanicut, to My dearest daughter","Watermark includes an illustration of a small horn and the text, ""Old English Vellum William. H. Ward & Co.""",1896-06-12,Conanicut Island (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Anna Cope, 1875-1967",1896,6,12
2233,"Letter from the Charles Warner Company to Thomas P. Cope Jr., 1896 July 1",,1896-07-01,Wilmington (Del.),Author (aut): Charles Warner Company,"Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1852-1944",1896,7,1
2234,"1896 July 2, Mossgiel, to My dearest Mother","Watermark reads, ""Quaker City Linen.""",1896-07-02,Jamestown (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,7,2
2235,"1896 July 3, Awbury, to My Dear Wife",,1896-07-03,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,7,3
2236,"1896 July 5, Woodbourne, to My dear Mother",,1896-07-05,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,7,5
2237,"1896 July 7, Awbury, to My Dear Wife",,1896-07-07,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,7,7
2238,"1896 July 8, Woodbourne, to My dearest Rachel",,1896-07-08,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1896,7,8
2239,"1896 July 8, Awbury, to My Dear Wife",,1896-07-08,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,7,8
2240,"1896 July 10, Philadelphia, to My Dear Wife",,1896-07-10,Philadelphia (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,7,10
2241,"1896 July 12, Awbury, to My Dear Wife",,1896-07-12,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,7,12
2242,"1896 July 13, Philadelphia, to Frank",,1896-07-13,Philadelphia (Pa.),"Author (aut): Stone, Witmer, 1866-1939","Addressee (rcp): Cope, Francis R. (Francis Reeve), 1878-1962",1896,7,13
2243,"1896 July 19, Awbury, to My Dear Wife, Conanicut",,1896-07-19,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,7,19
2244,"1896 July 22, Awbury, My Dear Wife",,1896-07-22,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,7,22
2245,"1896 July 23, Awbury, to My Dear Wife",,1896-07-23,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,7,23
2246,"1896 July 25, Philadelphia, to My Dear Wife",,1896-07-25,Philadelphia (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,7,25
2247,"1896 July 26, Awbury, to My Dear Wife",,1896-07-27,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,7,27
2248,"1896 June 30, Philadelphia, to Frank",Letter is written on Academy of Natural Sciences of Philadelphia letterhead.,1896-07-30,Philadelphia (Pa.),"Author (aut): Stone, Witmer, 1866-1939","Addressee (rcp): Cope, Francis R. (Francis Reeve), 1878-1962",1896,7,30
2249,"1896 August 3, Philadelphia, to Frank","The letter refers to Centennial History of Susquehanna County, Pennsylvania, 1887, by Stocker, Rhamanthus Menville, 1848-. The The passage on ornithology is from chapter VI, page 42.",1896-08-03,Philadelphia (Pa.),"Author (aut): Stone, Witmer, 1866-1939","Addressee (rcp): Cope, Francis R. (Francis Reeve), 1878-1962",1896,8,3
2250,"1896 August 3, Philadelphia, to Frank",,1896-08-03,Philadelphia (Pa.),"Author (aut): Stone, Witmer, 1866-1939","Addressee (rcp): Cope, Francis R. (Francis Reeve), 1878-1962",1896,8,3
2251,"1896 August 13, Birchcliffe, to My dear Clemmy",,1896-08-13,Berkshire County (Mass.),"Author (aut): Cope, Elizabeth Waln Stokes, 1823-1902","Addressee (rcp): Cope, Clementine, 1835-1903",1896,8,13
2252,"1896 August 16, Woodbourne, to Dearest Mother",,1896-08-16,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,8,16
2253,"1896 August 21, Woodbourne, to Dear Father",,1896-08-21,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1896,8,21
2254,"1896 August 21, Birchcliffe, to My dear Netty",,1896-08-21,Berkshire County (Mass.),"Author (aut): Cope, Elizabeth Waln Stokes, 1823-1902","Addressee (rcp): Cope, Annette, 1843-1916",1896,8,21
2255,"1896 August 27, Philadelphia, to My Dear Wife",,1896-08-27,Philadelphia (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,8,27
2256,"1896 September 4, Lake Placid, to My Dear Wife",,1896-09-04,Lake Placid (N.Y.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,9,4
2257,"1896 September 6, Lake Placid, to My Dear Wife",,1896-09-06,Lake Placid (N.Y.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,9,6
2258,"1896 September 9, Mossgiel, to My dear Hazen",,1896-09-09,Jamestown (R.I.),"Author (aut): Cope, Anna Stewardson Brown, 1822-1916","Addressee (rcp): Cope, Francis Hazen, 1859-1909",1896,9,9
2259,"Letter from the Charles Warner Company to Thomas R. Cope, 1896 September 10",,1896-09-10,Wilmington (Del.),Author (aut): Charles Warner Company,"Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1852-1944",1896,9,10
2260,"1896 September 10, The Ruiseeaumont, Lake Placid, Essex Co, NY, to My Dear Wife",,1896-09-10,Lake Placid (N.Y.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,9,10
2261,"1896 September 12, The Ruisseaumont, Lake Placid, Essex Co, N.Y., to My Dear Wife",,1896-09-12,Lake Placid (N.Y.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,9,12
2262,"1896 September 13, The Ruisseaumont, Lake Placid, Essex Co., N.Y., to My Dear Wife",,1896-09-13,Lake Placid (N.Y.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,9,13
2263,"1896 September 15, ""Fowlers' Rocks"", to My dear Hazen",,1896-09-15,Jamestown (R.I.),"Author (aut): Cope, Anna Stewardson Brown, 1822-1916","Addressee (rcp): Cope, Francis Hazen, 1859-1909",1896,9,15
2264,"1896 September 15, The Ruisseaumont, Lake Placid, Essex Co, N.Y., to My Dear Wife",,1896-09-16,Lake Placid (N.Y.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,9,16
2265,"1896 September 16, The Ruisseaumont, Lake Placid, Essex Co., N.Y., to My Dear Wife",,1896-09-16,Lake Placid (N.Y.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,9,16
2266,"1896 September 16, Lake Placid, to My very dear Mother","Watermark includes an illustration of an anchor with superimposed text that reads, ""Oceanic Mail Wm. H. Ward & Co London.""",1896-09-16,Lake Placid (N.Y.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,9,16
2267,"Letter from the Charles Warner Company to Thomas P. Cope Jr., 1896 September 17",,1896-09-17,Wilmington (Del.),Author (aut): Charles Warner Company,"Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1852-1944",1896,9,17
2268,"1896 September 20, Awbury, to My Dear Wife",,1896-09-20,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,9,20
2269,"1896 September 22, Mossgiel, to My dear husband",,1896-09-22,Jamestown (R.I.),"Author (aut): Cope, Anna Stewardson Brown, 1822-1916","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1896,9,22
2270,"1896 September 22, Afternoon, to My dear Husband",Continued from hsc4018,1896-09-22,,"Author (aut): Cope, Anna Stewardson Brown, 1822-1916","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1896,9,22
2271,"1896 September 22, Awbury, to My Dear Wife",,1896-09-22,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,9,22
2272,"1896 September 24, Awbury, to My Dear Wife",,1896-09-24,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,9,24
2273,"1896 September 27, Woodbourne, to Dearest Mother",,1896-09-27,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,9,27
2274,"1896 September 27, Awbury, to My Dear Wife",,1896-09-27,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,9,27
2275,"1896 September 29, Awbury, to My Dear Wife",,1896-09-29,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,9,29
2276,"1896 October 26, Woodbourne, to My Dear Wife",,1896-10-26,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,10,26
2277,"1896 October 28, Woodbourne, to My Dear Wife",,1896-10-28,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,10,28
2278,"1896 October 29, Woodbourne, to My Dear Wife",,1896-10-29,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1896,10,29
2279,"1896 November 7, to Mother",,1896-11-07,Saranac Lake (N.Y.),"Author (aut): Cope, Margaret, 1856-1948","Addressee (rcp): Cope, Elizabeth Waln Stokes, 1823-1902",1896,11,7
2280,"1897 January 1, Awbury, to Mother",Carrew Co. watermark.,1897-01-01,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis R. (Francis Reeve), 1878-1962","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1897,1,1
2281,"Letter from the Charles Warner Company to Thomas P. Cope Jr., 1897 January 2",,1897-01-02,Wilmington (Del.),Author (aut): Charles Warner Company,"Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1852-1944",1897,1,2
2282,"1897 January 2, Saranac Lake, to Dear Father & Mother",About two weeks before Alfred's death.,1897-01-02,Saranac Lake (N.Y.),"Author (aut): Cope, Francis Hazen, 1859-1909","Addressee (rcp): Cope, Francis Reeve, 1821-1909|Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,1,2
2283,"1897 January 3, Saranac Lake, to Dear Mother",,1897-01-03,Saranac Lake (N.Y.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1852-1944|Author (aut): Cope, Francis Hazen, 1859-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,1,3
2284,"1897 January 4, Saranac, to Dear Father",,1897-01-04,Saranac Lake (N.Y.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1852-1944","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1897,1,4
2285,"1897 January 5, Saranac Lake, to Dear Mother",,1897-01-05,Saranac Lake (N.Y.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1852-1944","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,1,5
2286,"1897 January 6, Saranac Lake, to Dearest Carrie",,1897-01-06,Saranac Lake (N.Y.),"Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Cope, Caroline E. (Caroline Elizabeth), 1840-1944",1897,1,6
2287,"1897 January 7, Saranac Lake, to Dearest Mother",,1897-01-07,Saranac Lake (N.Y.),"Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,1,7
2288,"1897 January 7, Saranac Lake, to Dear Mother",,1897-01-07,Saranac Lake (N.Y.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1852-1944","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,1,7
2289,"1897 January 8, Saranac Lake, to Dear Father",,1897-01-08,Saranac Lake (N.Y.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1852-1944","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1897,1,8
2290,"1897 January 8, Saranac Lake, to Dear Mother",,1897-01-08,Saranac Lake (N.Y.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1852-1944","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,1,8
2291,"1897 January 9, Philadelphia, to Frank",Letter is written on Academy of Natural Sciences of Philadelphia letterhead.,1897-01-09,Philadelphia (Pa.),"Author (aut): Stone, Witmer, 1866-1939","Addressee (rcp): Cope, Francis R. (Francis Reeve), 1878-1962",1897,1,9
2292,"1897 January 10, Saranac Lake, to Dearest Mother",,1897-01-10,Saranac Lake (N.Y.),"Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,1,10
2293,"1897 January 10, Saranac Lake, to Dear Father",,1897-01-10,Saranac Lake (N.Y.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1852-1944","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1897,1,10
2294,"1897 January 11, Saranac, to Dear sister Clem",,1897-01-11,Saranac Lake (N.Y.),"Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Cope, Clementine, 1835-1903",1897,1,11
2295,"1897 January 12, Saranac Lake, to Dear Mother",,1897-01-12,Saranac Lake (N.Y.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1852-1944","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,1,12
2296,"1897 January 12, Saranac Lake, to Dear Mother",,1897-01-12,Saranac Lake (N.Y.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1852-1944","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,1,12
2297,"1897 January 12, to Mrs. Francis R. Cope, Awbury",,1897-01-12,,"Author (aut): Cope, Thomas P. (Thomas Pim), 1852-1944","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,1,12
2298,"1897 January 13, Awbury, to My dear Lillie",,1897-01-13,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Anna Stewardson Brown, 1822-1916","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1897,1,13
2299,"1897 January 13, Saranac Lake, to Dear Mother",,1897-01-13,Saranac Lake (N.Y.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1852-1944","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,1,13
2300,"1897 January 13, Saranac, to Mrs. F.R. Cope, Awbury",,1897-01-13,Saranac Lake (N.Y.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1852-1944","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,1,13
2301,"1897 January 14, Saranac Lake, to Dearest Mother","Mentions the naming of Alfreda Cope Lewis, daughter of Caroline Mary Cope and William Draper Lewis, after Alfred, whose health continues to worsen.",1897-01-14,Saranac Lake (N.Y.),"Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,1,14
2302,"1897 January 14, Saranac Lake, to Dear Aunt Sue","Stationery has embossed blue deer's head and says ""Adirondack Mountains.""",1897-01-14,Saranac Lake (N.Y.),"Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",,1897,1,14
2303,"1897 January 14, Saranac Lake, to Dearest Mother","Describes the death of Alfred Cope, Jr.; stationery has embossed blue deer's head and says ""Adirondack Mountains.""",1897-01-14,Saranac Lake (N.Y.),"Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,1,14
2304,"1897 January 14, Saranac Lake, to Dear Father & Mother",,1897-01-14,Saranac Lake (N.Y.),"Author (aut): Cope, Thomas P. (Thomas Pim), 1852-1944","Addressee (rcp): Cope, Francis Reeve, 1821-1909|Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,1,14
2305,"1897 January 19, Olney, to Francis & Anna Cope","Letter of condolence upon the death of Alfred Cope, Jr.
 Includes Charlotte Elliott's poem ""My God, My Father, While I Stray.""
 ""Old Berkshire Mills 1895"" watermark.",1897-01-19,"Olney (Philadelphia, Pa.)","Author (aut): Morris, Samuel, 1827-1905","Addressee (rcp): Cope, Francis Reeve, 1821-1909|Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,1,19
2306,"1897 March 12, Bristol, to my dear Nettie",,1897-03-12,Bristol (Pa.),"Author (aut): Vanuxem, E.C.","Addressee (rcp): Cope, Annette, 1843-1916",1897,3,12
2307,"Letter from the Charles Warner Company to Thomas P. Cope Jr., 1897 April 2",,1897-04-02,Wilmington (Del.),Author (aut): Charles Warner Company,"Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1852-1944",1897,4,2
2308,"1897 June 7, Mossgiel, to My dearest little mother","Watermark includes an illustration of a rose and the text, ""hunano hinen"" ?.",1897-06-07,Jamestown (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,6,7
2309,"1897 June 17, Mossgiel, to My dearest mother",,1897-06-17,Jamestown (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,6,17
2310,"1897 June 23, Mosgiel, to My dear Father","It is unclear which ""Mr. and Mrs. Wharton"" and ""Lovering"" the author mentions. See ""The Wharton Branch"" in Carpenter family genealogy in Haverford College Library or Google Books: <br><br> Samuel Carpenter and his descendants, comp. by Edward Carpenter ... and his son General Louis Henry Carpenter, U. S. A <br><br> Philadelphia : Printed for private circulation by J. B. Lippincott company, 1912",1897-06-23,Jamestown (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1897,6,23
2311,"1897 June 25, Mosgiel, to My dearest Mother",,1897-06-25,Jamestown (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,6,25
2312,"1897 June 28, Woodbourne, to Dear Margaret",,1897-06-28,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Margaret Cheston Tatnall, b. 1859",1897,6,28
2313,"Letter from the Charles Warner Company to Thomas P. Cope Jr., 1897 July 1",,1897-07-01,Wilmington (Del.),Author (aut): Charles Warner Company,"Addressee (rcp): Cope, Thomas P. (Thomas Pim), 1852-1944",1897,7,1
2314,"1897 July 8, Awbury, to Dear Wife",,1897-07-08,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,7,8
2315,"1897 July 8, Awbury, to My Dear Wife",,1897-07-08,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,7,8
2316,"1897 July 9, Minnewaska New York, to Dear Sisters",,1897-07-09,Ulster County (N.Y.),"Author (aut): Cope, Clementine, 1835-1903","Addressee (rcp): Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Addressee (rcp): Cope, Annette, 1843-1916",1897,7,9
2317,"1897 July 9, Mosgiel, to My dearest Mother","Embossing reads, ""Calomet.""",1897-07-09,Jamestown (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,7,9
2318,"1897 July 11, Woodbourne, to Aunts",,1897-07-11,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Francis R. (Francis Reeve), 1878-1962","Addressee (rcp): Cope, Caroline E. (Caroline Elizabeth), 1840-1944|Addressee (rcp): Cope, Annette, 1843-1916",1897,7,11
2319,"1897 July 11, Woodbourne, to Aunt Nettie",,1897-07-11,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Foote, Eleanor Tyson Cope, 1879-1973","Addressee (rcp): Cope, Annette, 1843-1916",1897,7,11
2320,"1897 July 18, Awbury, to Dear Wife",,1897-07-18,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,7,18
2321,"1897 July 23, Awbury, to My Dear Wife",,1897-07-23,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,7,23
2322,"1897 July 25, Bliss Cottage, to Dear Sister",,1897-07-25,Newport (R.I.),"Author (aut): Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Addressee (rcp): Cope, Clementine, 1835-1903",1897,7,25
2323,"1897 July 27, Awbury, to My Dear Wife",,1897-07-27,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,7,27
2324,"1897 July 29, Awbury, to My Dear Wife",,1897-07-29,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,7,29
2325,"1897 August 2, Awbury, to My Dear Wife",,1897-08-02,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,8,2
2326,"1897 August 4, Minnewaska New York, to Dear AC, York Harbor",,1897-08-04,Ulster County (N.Y.),"Author (aut): Cope, Clementine, 1835-1903","Addressee (rcp): Evans, Anna Cope, 1875-1967",1897,8,4
2327,"1897 August 4, Awbury, to Dear Rachel",,1897-08-04,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1897,8,4
2328,"1897 August 5, Woodbourne, to My dearest Mother",,1897-08-05,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,8,5
2329,"1897 August 6, Mosgiel, to My dearest father",,1897-08-06,Jamestown (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1897,8,6
2330,"1897 August 15, Bliss Cottage, to Dear Sister",,1897-08-15,Newport (R.I.),"Author (aut): Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Addressee (rcp): Cope, Clementine, 1835-1903",1897,8,15
2331,"1897 August 24, York Harbor, Maine, to Dear Cousin Anna",,1897-08-24,York Harbor (Me.),"Author (aut): Cope, Caroline E. (Caroline Elizabeth), 1840-1944","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,8,24
2332,"1897 August 24, Germantown, to Cousin Carrie",,1897-08-24,"Germantown (Philadelphia, Pa.)","Author (aut): Haines, Francis Cope, 1857-1918","Addressee (rcp): Lewis, Caroline Mary Cope, 1865-1953",1897,8,24
2333,"1897 August 31, Awbury, to Dear Wife",,1897-08-31,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1897,8,31
